target_user_id,gstat_user_len_mean,gstat_user_sr_max_share,gstat_question_ratio,gstat_caps_ratio,gstat_readability_fk,gstat_link_ratio,gstat_negation_ratio,gstat_subjectivity_ratio,gstat_emoticon_ratio,gstat_contraction_ratio,gstat_avg_word_len,gstat_long_word_ratio,gstat_stopword_ratio,gstat_rep_bigram_ratio,gstat_hour_entropy,gstat_nocturnal_ratio,gstat_circadian_mean,gstat_reply_delay_std
91,1.12545,1.9563,-1.62511,-0.716744,0.991199,-0.552522,1.72291,0.0760837,-0.296507,1.03133,0.551462,0.231973,0.778357,1.5393,-0.149629,-0.011542,-1.47643,-0.753111
92,0.663222,-1.03269,-1.06834,-0.873539,0.812738,0.0211653,0.67252,-0.896523,0.120981,1.65582,0.726416,0.64619,0.535321,0.508495,0.0786979,-0.38864,0.758129,-0.424154
93,-0.481139,0.113624,-0.29733,-0.239592,-0.887465,0.659043,-1.40788,-0.322575,-0.27753,0.420806,-1.04335,-1.1188,0.233395,-0.177112,0.511782,-0.635137,1.05906,0.348825
94,-0.554665,0.451667,0.256815,0.0398748,-0.546095,-0.268751,0.979988,-0.856392,-0.418993,-0.0520874,0.0194882,0.166875,0.208414,-0.5449,-0.29737,1.27548,-1.47818,0.272487
95,0.184008,-0.942118,1.38151,-0.643394,1.34147,-0.767651,1.8013,-0.861314,-0.199898,0.700788,1.71491,1.9345,0.428034,-0.171521,1.00377,-0.971417,0.220866,-0.732951
96,-0.485647,-0.427238,1.03259,-0.0881159,-1.22578,0.016729,0.304524,0.591728,-0.210249,0.914642,-0.491763,-0.316982,-0.932478,-0.250072,1.57483,0.320174,-1.52286,1.16765
97,-0.379725,-0.990641,0.145986,0.188347,-0.676656,-0.197381,0.296959,0.00793677,-0.418993,0.427787,-0.517655,-0.471154,-0.815402,-0.13554,0.722562,-0.0892442,0.805073,1.0602
98,0.793026,-0.427238,0.0351567,0.0520335,0.134384,-0.340121,1.5697,-1.13504,-0.418993,0.443352,-0.0301381,-0.0532717,0.815196,0.942895,0.668163,-0.0892442,-1.38447,-0.855826
99,0.986278,-0.472311,0.367644,-0.788827,1.4142,0.444934,0.101928,-0.883272,-0.38794,1.68827,0.697283,0.676352,0.760947,1.05235,0.752452,0.0131048,1.11446,-0.242461
100,-0.320284,-0.0666629,-0.851452,-0.298032,-0.218404,-0.268751,-0.840443,1.08352,-0.418993,0.915397,-0.6359,-0.223326,0.355821,-0.339509,0.199494,0.0813422,0.658434,-0.560068
101,0.90297,2.27332,-1.17968,-1.17251,0.0149384,-0.695936,1.09831,-0.469091,-0.418993,-0.712138,-0.22396,-0.620973,0.259333,2.2852,-0.493564,0.159861,-1.69396,-0.364539
102,-0.548468,-0.945568,-0.518965,-0.0791779,-0.0214918,1.30136,-0.93964,0.181333,-0.346536,-0.916748,-0.249433,-0.235735,0.782596,0.130319,0.295758,-0.737493,0.417755,0.475826
103,-1.144,-0.765281,0.478473,2.38894,-1.65186,0.587673,-0.395738,-0.44789,-0.418993,-0.108687,-0.151057,-0.807904,-0.951605,-1.6536,0.172359,0.661354,-1.59172,-0.863958
104,2.24862,2.86206,-0.288835,0.747497,2.05998,4.18034,0.111595,-0.988521,-0.418993,0.567023,1.9751,1.97379,1.01917,1.62293,1.03735,0.365555,-1.34265,-0.867219
105,1.05501,-0.630062,0.921765,-0.569248,1.22944,0.373564,0.461096,-0.975649,-0.358612,0.416467,1.27263,1.30995,0.909766,0.610572,0.714637,-0.191601,0.550375,-0.199468
106,0.367995,-0.421308,0.490668,-0.904767,-0.562579,-0.265678,0.365682,-0.505436,0.67303,0.938225,0.340804,0.138508,0.185655,0.56673,0.243601,-0.011542,0.6746,0.484732
107,-0.709041,0.181234,0.70013,-0.938384,-0.23383,-0.48286,1.063,-0.471741,-0.418993,0.639471,0.879822,0.751948,0.333465,-0.884659,-0.757073,0.49076,-1.07996,-0.984145
108,2.37707,-0.111736,1.36508,-0.809706,0.902702,-0.625585,0.882472,0.246829,-0.312033,0.676639,0.409793,0.357929,0.967446,2.18661,0.534284,-0.464543,0.549637,0.000651327
109,-0.869333,0.812247,0.921765,1.12336,-0.800066,-0.48286,-0.194612,0.173382,0.778264,0.906529,-0.639447,-0.498148,-0.091998,-1.06759,0.269502,1.10488,-1.49265,-0.599981
110,-0.0289846,-0.642849,0.0554049,-0.236769,0.544557,-0.33462,-0.274054,-0.241178,-0.268904,0.209688,0.889253,1.32301,0.573877,-0.244038,0.529756,-0.380887,0.562244,-0.562751
111,-0.554665,-0.494847,1.03259,0.439805,-0.560425,-0.126011,0.962755,-0.160916,-0.418993,0.438635,1.07783,1.1213,-0.613191,-0.646848,0.750384,0.83194,-1.51677,-0.085847
112,-0.318594,-0.787817,-0.740623,-0.129983,-0.233304,1.51547,-0.418015,0.198748,-0.418993,0.460049,-0.0975968,-0.122111,-1.08397,-0.366302,0.671711,-0.293957,-1.16094,0.157069
113,-0.549876,-1.14839,0.70013,-0.669448,-0.132439,-0.411491,0.689122,0.00452949,-0.348261,0.785311,0.853374,0.715754,-0.170116,-0.958135,0.523026,1.139,-1.12696,-0.510093
114,0.161437,1.03761,-0.29733,0.0026392,-0.256127,0.159469,-0.553991,-0.185903,-0.418993,-0.446024,-0.902842,-0.920535,1.44383,0.080461,0.84823,0.217817,0.65882,0.997586
115,-0.5559,-1.16856,1.38151,0.559799,-0.826047,0.451423,0.261021,-0.329011,-0.346536,-0.767135,-0.137019,-0.494138,-0.37172,-0.0863831,0.637995,0.434115,1.10951,-0.79129
116,1.37268,-0.0206103,-0.496482,-0.769105,-0.0854772,1.91265,-0.267119,-0.205211,0.503965,0.86323,0.330096,0.525693,0.126613,1.36656,-1.02386,-1.34222,0.0784932,0.548891
117,-0.701999,-0.810354,2.47335,-0.297345,-0.524099,-0.554215,0.722748,-0.373685,-0.418993,-1.54944,-0.716832,-0.599592,0.153055,-0.684361,-0.730655,-0.669256,0.364564,-0.701755
118,-0.468463,2.43484,0.70013,-0.794074,0.0237927,-0.625585,1.74876,0.667068,-0.346536,-0.632993,-1.34408,-1.30749,0.221838,0.785831,0.405725,0.797821,1.07948,-0.973949
119,1.60378,0.879852,-0.851452,-0.696769,2.09692,0.373564,-0.508595,-0.151072,-0.368963,-0.27745,2.38793,2.1716,-0.542138,0.548573,1.57278,-0.293957,0.751156,0.413424
120,-0.558891,-0.584993,1.25425,-0.513666,0.167571,-0.411491,1.31078,-0.508086,0.164109,-1.60199,0.464515,0.644853,-2.18833,-0.595957,1.43526,0.627235,-1.68664,0.179762
121,-0.63129,-0.855422,0.367644,-0.379053,1.16906,-0.340121,1.15568,0.38918,-0.343086,0.168087,1.42757,1.74773,0.29703,-0.569128,1.50495,0.183699,-1.63042,-0.647196
122,-1.0454,1.82637,-0.740623,1.08819,-1.80913,-0.625585,-0.182002,0.124165,-0.0791373,-0.30226,0.0288367,0.245297,-2.38378,-1.0227,0.198442,0.661354,1.0672,-0.0913021
123,1.29642,-0.874187,-1.17968,-0.556004,2.46305,-0.409093,0.282668,-0.683375,0.191712,0.23346,-0.0358022,0.646266,0.36334,0.765533,0.529836,-0.354356,0.79245,-0.897595
124,-1.07701,-1.21384,1.15881,0.7395,-1.08404,-0.337378,0.450167,0.204048,-0.0342833,2.17626,-0.08135,0.373698,-0.794307,-1.68687,0.067556,0.536959,-1.72811,-0.860625
125,-0.369865,-0.584993,-0.29733,0.0108898,0.244936,-0.411491,-1.3194,0.282417,-0.168845,0.0953559,0.728646,0.884549,-0.119805,-0.516115,1.21421,-0.396306,1.09447,-0.693096
